questions,labels
Hi there,start_conversation
Is anyone there?,start_conversation
Hey,start_conversation
Hola,start_conversation
Hello,start_conversation
Good day,start_conversation
Hi,start_conversation
What is your name?,what_are_you
what are you?,what_are_you
who are you?,what_are_you
your name pls?,what_are_you
Bye,end_conversation
See you later,end_conversation
Goodbye,end_conversation
"Nice chatting to you, bye",end_conversation
Till next time,end_conversation
Thanks,thanks
Thank you,thanks
That's helpful,thanks
"Awesome, thanks",thanks
Thanks for helping me,thanks
How can you help me?,options
What can you do?,options
What help you provide?,options
How can you be helpful?,options
What support do you offered,options
What do you know?,options
what help?,options
What are you about?,options
What is this college known for?,college_information
tell me about this university?,college_information
what exactly can you tell me about this university?,college_information
What are the departments available at this collage?,departments
What are the departments available at this university?,departments
List the engineering departments available at this university,departments
Engineering departments?,departments
Give me the list of departments avaiable at this university,departments
Could you tell me about Computer Science in detail?,computer_science
Computer Science,computer_science
Please tell me about Computer Science,computer_science
Could you tell me about Information Technology in detail?,information_technology
Information Technology,information_technology
Please tell me about Information Technology,information_technology
Could you tell me about Electronics and Telecommunication in detail?,electronics_and_telecommunication
Electronics and Telecommunication,electronics_and_telecommunication
Please tell me about Electronics and Telecommunication,electronics_and_telecommunication
Could you tell me about Electronics in detail?,electronics
Electronics,electronics
Please tell me about Electronics,electronics
Could you tell me about Mechanical Engineering in detail?,mechanical
Mechanical Engineering,mechanical
Please tell me about Mechanical Engineering,mechanical
Could you tell me about Chemical Engineering in detail?,chemical
Chemical Engineering,chemical
Please tell me about Chemical Engineering,chemical
What is the intake capacity per branch?,intake_capacity
List the intake capacity per branch?,intake_capacity
How many students are taken in each year,intake_capacity
Give me the intake capacity for each branch?,intake_capacity
Could you tell me about Computer Science intake in detail?,computer_science
Computer Science,computer_science
Please tell me about Computer Science intake,computer_science
What are the hostel and mess facitlities in your university like?,hostels_and_mess
Give me some details about the hostel facilities,hostels_and_mess
hostel information,hostels_and_mess
Tell me about the hostel and mess facilities,hostels_and_mess
Give me information about the hostel facilities,hostels_and_mess
hostel and mess,hostels_and_mess
List the co-curricular activities on campus,co_curricular
What are the co-curricular activities in college?,co_curricular
Give me information about the co-curricular activities at campus,co_curricular
co-curricular activities,co_curricular
What are the education loan facilities like in this university?,educational_loan
Any emphasis on loan facilities,educational_loan
Is education loan avaiable?,educational_loan
Give some information on education loan facilities,educational_loan
education loan,educational_loan
what is the addmision criteria at your university,admission_criteria
admission criteria,admission_criteria
Criterion required to enter this university,admission_criteria
Give some details about the admission criteria for this university,admission_criteria
What are the deadlines for admission?,deadlines
By when am I supposed to fill the form?,deadlines
Last dates for addmissison,deadlines
Give me deatils about the deadlines for admission,deadlines
deadlines,deadlines
Where can I find the admission form?,admission_link
Could you provide me with the admission link?,admission_link
Admission link,admission_link
What is the fee structure at your university?,fee_structure
Give me some details about the fee structure,fee_structure
fee structure,fee_structure
List the fee structure,fee_structure
fee structure,fee_structure
Could you provide me with some additional contact info,contact_information
Contact Email Address,contact_information
Office Telephone,contact_information
Give me some contact details,contact_information
contact information,contact_information
how much is an overdraft fee for bank,OOS
why are exponents preformed before multiplication in the order of operations,OOS
what size wipers does this car take,OOS
where is the dipstick,OOS
how much is 1 share of aapl,OOS
how is glue made,OOS
any headlines from my area,OOS
what is the largest state in the us,OOS
what is the current market trend,OOS
what is the most popular airline,OOS
what is the formula for the circumference of a circle,OOS
what are some ways to reduce spending,OOS
what time does the louvre open,OOS
are there any local stations covering the moral march in raleigh in februaryu,OOS
how many planets have we discovered,OOS
how do i change my billing address,OOS
how do i open an online line of credit,OOS
how do i remove a coffee blemish,OOS
how expensive is an apple share,OOS
where can i find the cruise control on my kia sportage 2010,OOS
how many sides are in a hexagon,OOS
how fast does an airplane travel,OOS
is it worth investing in target,OOS
i need to speak to customer service regarding my flight,OOS
how long do wire transfers take,OOS
what are some deals on amazon,OOS
what city is the super bowl,OOS
what trees change color in autumn,OOS
do people prefer summer over fall,OOS
how long is winter,OOS
what were some of ben franklin's notable accomplishments,OOS
where was john denver born,OOS
where did abraham lincoln live,OOS
when was kobe bryant born,OOS
who's toledo's starting point guard for the next game,OOS
how many players are on the chicago bulls,OOS
who is the coach of the chicago bulls,OOS
when do the utah jazz play next,OOS
what other nations were involved in the chinese trade war,OOS
what years has korea been at war,OOS
when was the theory of evolution first considered,OOS
who formulated the theory of relativity,OOS
what stage of evolution am i,OOS
what other personality type is most compatible with infjs,OOS
what does my personality mean,OOS
what's the most dominant scale in bluegrass,OOS
what year was saxaphone first played,OOS
which piano is best for classical,OOS
is k-12 education required outside of the united states,OOS
what are the benefits of completing college,OOS
are you able to answer algebra equations,OOS
can you help me study for a history exam,OOS
how many points per game is lebron james averaging this season,OOS
what team does eli mannign play for,OOS
get me dwight howard shooting average,OOS
can you list me tiger wood's stats,OOS
what's the runtime of all the lord of the rings movies combined,OOS
which character is the most famous from titanic,OOS
how many oscars did star wars films win,OOS
what year was shawshank redemption released,OOS
which marvel character has appeared in the most movies,OOS
when's the next movie starring thor set to come out,OOS
who was the first capcom character,OOS
are any justice league movies coming out,OOS
can you tell me something about the nfl,OOS
please explain the catch rule to me,OOS
is there overtime in college football,OOS
when did the mls start,OOS
what's the best price on super smash bros ultimate right now,OOS
what is the highest earning game on atari,OOS
when is the next nintendo direct,OOS
when was nintendo created,OOS
please find the capital of pakistan and its population,OOS
how many people live in taiwan,OOS
what are some of picasso's most famous works,OOS
what are van gogh's best pieces,OOS
where can i see art,OOS
when did camus die,OOS
how much money does radiohead earn a year,OOS
who is radiohead,OOS
what's the biggest saas marketing company in the united states,OOS
how do i start my own marketing firm,OOS
how can i get involved in restaurant marketing,OOS
what is saas marketing,OOS
what do you call someone who was born in segovia,OOS
what is rhineland,OOS
who is the scariest character in start trek,OOS
who is the current captain of this ship,OOS
what year was star trek released,OOS
when was toyota created,OOS
who are some notable alumni of ucsd,OOS
what is the next football game,OOS
how many students attend ucsb,OOS
when do classes start,OOS
how can i become an aerospace engineer,OOS
what percentage of species display cold blooded traits,OOS
what does it mean to be an alpha male,OOS
what animals have alpha males,OOS
why do males want to be alpha,OOS
what's the average battery life of an android phone,OOS
